distric_id,distric_name,distric_uniqueID,distric_code,parent_region
162,     Monduli     ,1,     AR01     ,1
163,     Meru     ,2,     AR02     ,1
164,     Arusha     ,3,     AR03     ,1
165,     Ngorongoro     ,4,     AR04     ,1
166,     Longido     ,5,     AR05     ,1
167,     Kinondoni     ,6,     DA01     ,2
168,     Ilala     ,7,     DA02     ,2
169,     Temeke     ,8,     DA03     ,2
170,     Ubungo     ,9,     DA04     ,2
171,     Kigamboni     ,10,     DA05     ,2
172,     Kondoa Urban     ,11,     DO01     ,3
173,     Mpwapwa     ,12,     DO02     ,3
174,     Kongwa     ,13,     DO03     ,3
175,     Dodoma     ,14,     DO04     ,3
176,     Bahi     ,15,     DO05     ,3
177,     Chamwino     ,16,     DO06     ,3
178,     Chemba     ,17,     DO07     ,3
179,     Iringa     ,18,     IR01     ,4
180,     Mufindi     ,19,     IR02     ,4
181,     Kilolo     ,20,     IR03     ,4
182,     Kibondo     ,21,     KG01     ,5
183,     Uvinza     ,22,     KG06     ,5
184,     Kasulu     ,23,     KG02     ,5
185,     Buhigwe     ,24,     KG04     ,5
186,     Kigoma     ,25,     KG03     ,5
187,     Rombo     ,26,     KJ01     ,6
188,     Mwanga     ,27,     KJ02     ,6
189,     Same     ,28,     KJ03     ,6
190,     Moshi     ,29,     KJ04     ,6
191,     Hai     ,30,     KJ05     ,6
192,     Siha     ,31,     KJ06     ,6
193,     Karagwe     ,32,     KR01     ,7
194,     Bukoba     ,33,     KR02     ,7
195,     Muleba     ,34,     KR03     ,7
196,     Biharamulo     ,35,     KR04     ,7
197,     Ngara     ,36,     KR05     ,7
198,     Misenyi     ,37,     KR06     ,7
199,     Kyerwa     ,38,     KR07     ,7
200,     Mpanda     ,39,     KT01     ,8
201,     Mlele     ,40,     KT02     ,8
202,     Tanganyika     ,41,     KT03     ,8
203,     Kilwa     ,42,     LD01     ,9
204,     Lindi     ,43,     LD02     ,9
205,     Liwale     ,44,     LD03     ,9
206,     Ruangwa     ,45,     LD04     ,9
