street_id,street_name,street_uniqueID,street_code,parent_ward
15946,     Akeri     ,1,     STAR01     ,42
15947,     Patandi     ,2,     STAR02     ,42
15948,     Nguruma     ,3,     STAR03     ,42
15949,     Sendui     ,4,     STAR04     ,80
15950,     Alailelai     ,5,     STAR05     ,80
15951,     Olchaniomelok     ,6,     STAR06     ,80
15952,     Esere     ,7,     STAR07     ,85
15953,     Alaitolei     ,8,     STAR08     ,85
15954,     Shangarai     ,9,     STAR09     ,45
15955,     Ambureni     ,10,     STAR10     ,45
15956,     Ormanie     ,11,     STAR11     ,98
15957,     Mbuken     ,12,     STAR12     ,98
15958,     Olalaa     ,13,     STAR13     ,98
15959,     Arash     ,14,     STAR14     ,98
15960,     Bangata     ,15,     STAR15     ,55
15961,     Midawe     ,16,     STAR16     ,55
15962,     Sasi     ,17,     STAR17     ,55
15963,     Kwa Mrefu     ,18,     STAR18     ,3960
15964,     Mferejini     ,19,     STAR19     ,3960
15965,     Siara     ,20,     STAR20     ,3960
15966,     Ofisini     ,21,     STAR21     ,3960
15967,     Kiroshi     ,22,     STAR22     ,3960
15968,     Ilkirowa     ,23,     STAR23     ,3960
15969,     Kambi ya Chupa     ,24,     STAR24     ,3960
15970,     Sorenyi     ,25,     STAR25     ,3960
15971,     Matala     ,26,     STAR26     ,122
15972,     Jobaj     ,27,     STAR27     ,122
15973,     Endesh     ,28,     STAR28     ,122
15974,     Mbuga Nyekundu     ,29,     STAR29     ,122
15975,     Dumbechand     ,30,     STAR30     ,122
15976,     Qangdend     ,31,     STAR31     ,122
15977,     Buger     ,32,     STAR32     ,127
15978,     Endonyawet     ,33,     STAR33     ,127
15979,     Ayalaliyo     ,34,     STAR34     ,127
15980,     Mungushi     ,35,     STAR35     ,60
15981,     Bwawani     ,36,     STAR36     ,60
15982,     Themi ya Simba     ,37,     STAR37     ,60
15983,     Kigongoni     ,38,     STAR38     ,60
15984,     Oldeani     ,39,     STAR39     ,130
15985,     Kiwanja     ,40,     STAR40     ,130
15986,     Changarawe     ,41,     STAR41     ,130
15987,     Endashangwet     ,42,     STAR42     ,130
15988,     Mangola Juu     ,43,     STAR43     ,130
15989,     Makhoromba     ,44,     STAR44     ,130
15990,     Ndarvoi     ,45,     STAR45     ,3961
15991,     Darajani     ,46,     STAR46     ,3961
15992,     Kati     ,47,     STAR47     ,3961
15993,     Ali Nyanya     ,48,     STAR48     ,3961
15994,     Jamhuri     ,49,     STAR49     ,3961
15995,     Sanare     ,50,     STAR50     ,3961
15996,     Digodigo     ,51,     STAR51     ,88
15997,     Elangtadapash     ,52,     STAR52     ,102
15998,     Sokon     ,53,     STAR53     ,102
15999,     Olchoronyokie     ,54,     STAR54     ,102
16000,     Majengo A     ,55,     STAR55     ,3962
16001,     Shamsi     ,56,     STAR56     ,3962
16002,     Burka     ,57,     STAR57     ,3962
16003,     Kware     ,58,     STAR58     ,3962
16004,     Majengo B     ,59,     STAR59     ,3962
